apt,ident,lat,lon,elev,hdg
00CA,04,35.3493,-116.892998,0,50.0
00CA,22,35.360298,-116.877998,0,228.0
00WI,09,44.304199,-89.052002,0,87.2
00WI,27,44.304401,-89.048203,0,265.7
01A,5,62.940214,-152.272933,2034,70.0
01A,23,62.941297,-152.266286,2041,250.0
01ID,14,42.611,-112.035004,0,158.0
01ID,32,42.603699,-112.030998,0,338.0
01J,18,30.690901,-81.906403,59,172.5
01J,36,30.6817,-81.904999,59,352.5
01LS,09,30.7227,-91.0802,0,92.2
01LS,27,30.7225,-91.074501,0,272.3
01MT,13,48.794998,-114.886002,0,148.0
01MT,31,48.783298,-114.875,0,328.2
01OL,5,34.360722,-96.736473,1058,50.0
01OL,23,34.393055,-96.688889,1043,230.0
01WI,01,44.0056,-90.390503,0,9.6
01WI,19,44.011799,-90.389198,0,188.6
02FD,1,30.947599,-86.636002,190,5.7
02FD,19,30.9571,-86.634903,209,185.7
04CA,8,34.5666,-117.683,0,90.0
04CA,26,34.5667,-117.6575,0,270.0
04CL,08,33.081912,-116.443377,0,96.7
04CL,26,33.081291,-116.437102,0,276.7
04I,06,39.909199,-83.192802,920,57.9
04I,24,39.913101,-83.1847,920,237.9
04MS,17,32.944199,-90.837303,0,180.0
04MS,35,32.934898,-90.837303,0,0.0
04NV,02,35.751801,-115.667999,0,33.5
04NV,20,35.759201,-115.662003,0,213.3
04TT,18,29.719542,-99.545395,1550,181.8
04TT,36,29.70669,-99.54586,1523,1.8
04V,10,38.104099,-106.185997,0,118.0
04V,28,38.094101,-106.163002,0,298.0
04W,06,46.021301,-92.900101,1021,66.0
04W,24,46.024399,-92.890198,1009,246.0
05CL,10,38.613098,-122.397003,618,116.0
05CL,28,38.608601,-122.386002,618,297.6
05LS,02,31.247101,-92.478302,0,22.4
05LS,20,31.252899,-92.475502,0,202.4
05PS,06,40.141201,-77.865501,0,41.2
05PS,24,40.146,-77.860001,0,221.2
05V,03,37.4048,-105.559998,7696,41.0
05V,21,37.4175,-105.545998,7720,221.0
05Y,17,46.308399,-95.442299,1440,180.0
05Y,35,46.299599,-95.442299,1455,0.0
06FA,09,26.9081,-80.339203,28,90.0
06FA,27,26.908199,-80.317703,28,270.0
06MO,15,39.235298,-94.806396,0,156.6
06MO,33,39.227798,-94.8022,0,336.6
06N,08,41.430199,-74.396103,503,62.0
06N,26,41.433701,-74.387001,521,242.0
06TE,08,30.3123,-95.0308,0,83.9
06TE,26,30.313101,-95.022903,0,263.3
06TT,13,30.8629,-100.205704,2165,132.4
06TT,31,30.8571,-100.198303,2152,312.4
06WN,09,46.9263,-122.557999,0,111.6
06WN,27,46.923599,-122.547997,0,273.9
06Y,14,45.833199,-96.163597,1055,148.3
06Y,32,45.826199,-96.157402,1068,328.3
07B,16,44.451801,-68.5728,363,149.8
07B,34,44.444199,-68.566597,322,329.8
07FA,04,25.3207,-80.279198,0,40.0
07FA,22,25.330099,-80.270401,0,220.2
07IA,18,40.650081,-95.021511,971,177.0
07IA,36,40.645694,-95.021189,969,357.0
07K,15,41.116402,-98.053299,1715,163.2
07K,33,41.106701,-98.0494,1716,343.2
07MT,10,48.430302,-106.552002,2757,120.0
07MT,28,48.4118,-106.503998,2748,300.0
07TE,13,27.7258,-97.517502,39,134.0
07TE,31,27.7164,-97.506401,0,313.7
07Y,16,46.959499,-93.599297,0,161.2
07Y,34,46.952099,-93.595596,0,341.2
08B,14,44.001701,-69.889999,56,129.7
08B,32,43.998299,-69.8843,57,309.7
08MS,07,34.6605,-89.874199,0,70.0
08MS,25,34.664001,-89.862503,0,250.0
08R,11,41.489899,-71.624496,130,97.9
08R,29,41.489101,-71.616798,127,277.9
08UT,10,38.339349,-109.142381,7175,127.5
08UT,28,38.330686,-109.127975,7175,307.5
09CL,01,39.110001,-121.058998,2240,26.0
09CL,19,39.1175,-121.054001,2310,207.3
09FA,18,27.252199,-81.413101,0,180.0
09FA,36,27.238899,-81.413101,0,0.0
09S,16,48.8433,-117.283997,2621,180.0
